_id,slug,slugLock,type,hotTubCollection,swimSpaCollection,title,startingPrice,modelYear,model,description,seatingDesign,seating,jets,volume,swimSystem,sizeCategory,energyEfficiency,hydroGuide,dimensions,height,weightFull,weightEmpty,swimArea,jetPumps,interiorLighting,exteriorLighting,waterFalls,selfCleaning,circulationPump,automatedWellness,pureWaterSystem,ezZonePure,oasisPackage,hydroFlex,iCommand,northernFalls,chromatherapy,heater,warranty,thumbnail,topdown,threeDModel,createdAt,updatedAt,__v,meta.title,meta.image,meta.description
672d425d6613f0d51efbc6cb,serenity-4300,true,hot-tub,serenity,,Serenity 4300,10,2024,HPSER4300,The Serenity 4300 is perfect for those looking for a smaller tub that feels large inside!,Compact W/Lounger,3-4 Person,31,243 US Gal / 925 L,N/A,N/A,4,$10.07 - $22.28*,"85"" x 62"" / 216 cm x 157 cm","36""/ 91 cm",2564 lbs / 1163 kgs,526 lbs / 239 kgs,N/A,1 Pump,Yes + Optional Lighiting Packages,Optional,Optional 2 Aqua Blade Water Falls,false,false,false,optional,optional,not-available,optional,optional,not-available,optional,4kw,10/5/3 Year Limited,672d425a6613f0d51efbc6c4,672d425c6613f0d51efbc6c8,https://hydropool-configurator.web.app/5cKUb5lFcOjN8LnTbVFk?lang=en&model_switcher=Oi40CzdGjvvK1UM9vqEt&cover,2024-11-07T22:42:37.054Z,2025-02-11T03:51:45.501Z,0,Hydropool Serenity 4300 | BonaVista Leisurescapes,672d425a6613f0d51efbc6c4,"The Serenity 4300 is perfect for those looking for a smaller tub that feels large inside! Experience the ultimate in luxury hydrotherapy and wellness with BonaVista Leisurescapes, Toronto's premier Hydropool dealer."
672d42626613f0d51efbc6d7,serenity-4500,true,hot-tub,serenity,,Serenity 4500,11,2024,HPSER4500,The Serenity 4500 has spacious seating with a lounger that doubles as a unique cool-down ledge.,Deep Seat W/ Lounger,4-5 Person,35,309 US Gal / 1176 L,N/A,N/A,4,$6.57 - $14.54*,"80"" x 80"" / 203 cm x 203 cm","36""/ 91 cm",3176 lbs/ 1441 kgs,585 lbs / 265 kgs,N/A,1 Pump,Yes + Optional Lighiting Packages,Optional,Optional 2 Aqua Blade Water Falls,false,false,false,optional,optional,not-available,optional,optional,not-available,optional,4kw,10/5/3 Year Limited,672d425f6613f0d51efbc6d0,672d42626613f0d51efbc6d4,https://hydropool-configurator.web.app/eTP6uOVT3IOTiDpNELV5?lang=en&model_switcher=Oi40CzdGjvvK1UM9vqEt&cover,2024-11-07T22:42:42.958Z,2025-02-11T03:51:34.725Z,0,Hydropool Serenity 4500 | BonaVista Leisurescapes,672d425f6613f0d51efbc6d0,"The Serenity 4500 has spacious seating with a lounger that doubles as a unique cool-down ledge. Experience the ultimate in luxury hydrotherapy and wellness with BonaVista Leisurescapes, Toronto's premier Hydropool dealer."
672d42686613f0d51efbc6e3,serenity-5900,true,hot-tub,serenity,,Serenity 5900,12,2024,HPSER5900,The Serenity 5900 features cofortable deep seats and full-body massage with space for 5.,Spacious W/ Lounger,5-6 Person,41,403 US Gal / 1533 L,N/A,N/A,4,$12.04 - $26.67*,"85.50"" x 85.50"" / 217 cm x 217 cm","36""/ 91 cm",4048 lbs / 1837 kgs,669 lbs / 304 kgs,N/A,2 Pumps,Yes + Optional Lighiting Packages,Optional,Optional 2 Aqua Blade Water Falls,false,false,false,optional,optional,not-available,optional,optional,not-available,optional,4kw,10/5/3 Year Limited,672d42656613f0d51efbc6dc,672d42686613f0d51efbc6e0,https://hydropool-configurator.web.app/ZaXVXbXv3DhZVepXDJ4E?lang=en&model_switcher=Oi40CzdGjvvK1UM9vqEt&cover,2024-11-07T22:42:48.873Z,2025-02-11T03:51:25.001Z,0,Hydropool Serenity 5900 | BonaVista Leisurescapes,672d42656613f0d51efbc6dc,"The Serenity 5900 features cofortable deep seats and full-body massage with space for 5. Experience the ultimate in luxury hydrotherapy and wellness with BonaVista Leisurescapes, Toronto's premier Hydropool dealer."
672d426e6613f0d51efbc6ef,serenity-6600,true,hot-tub,serenity,,Serenity 6600,11,2024,HPSER6600,"The Serentiy 6600 is a small but spacious spa, with 2 captain seats and 4 Massage Zones.",Open Concept,6-7 Person,32,309 US Gal / 1176 L,N/A,N/A,4,$9.37 - $20.75*,"80"" x 80"" / 203 cm x 203 cm","36""/ 91 cm",3176 lbs/ 1441 kgs,585 lbs / 265 kgs,N/A,1 Pump,Yes + Optional Lighiting Packages,Optional,Optional 2 Aqua Blade Water Falls,false,false,false,optional,optional,not-available,optional,optional,not-available,optional,4kw,10/5/3 Year Limited,672d426b6613f0d51efbc6e8,672d426e6613f0d51efbc6ec,https://hydropool-configurator.web.app/AW8ejjtG439ohONLQtx0?lang=en&model_switcher=Oi40CzdGjvvK1UM9vqEt&cover,2024-11-07T22:42:54.917Z,2025-02-11T03:51:15.424Z,0,Hydropool Serenity 6600 | BonaVista Leisurescapes,672d426b6613f0d51efbc6e8,"The Serentiy 6600 is a small but spacious spa, with 2 captain seats and 4 Massage Zones. Experience the ultimate in luxury hydrotherapy and wellness with BonaVista Leisurescapes, Toronto's premier Hydropool dealer."
672d42746613f0d51efbc6fb,serenity-6800,true,hot-tub,serenity,,Serenity 6800,12,2024,HPSER6800,The Senerity 6800 is a spacious 6 person hot tub with 4 deep captain seats perfect for entertaining.,Large Open Seater,6-7 Person,40,376 US Gal / 1430 L,N/A,N/A,4,$12.79 - $28.32*,"85.50"" x 85.50"" / 217 cm x 217 cm","36""/ 91 cm",3807 lbs / 1727 kgs,655 lbs / 297 kgs,N/A,2 Pumps,Yes + Optional Lighiting Packages,Optional,Optional 2 Aqua Blade Water Falls,false,false,false,optional,optional,not-available,optional,optional,not-available,optional,4kw,10/5/3 Year Limited,672d42716613f0d51efbc6f4,672d42746613f0d51efbc6f8,https://hydropool-configurator.web.app/ZM2rBzfGHwY5PIPM178d?lang=en&model_switcher=Oi40CzdGjvvK1UM9vqEt&cover,2024-11-07T22:43:00.848Z,2025-02-11T03:51:06.370Z,0,Hydropool Serenity 6800 | BonaVista Leisurescapes,672d42716613f0d51efbc6f4,"The Senerity 6800 is a spacious 6 person hot tub with 4 deep captain seats perfect for entertaining. Experience the ultimate in luxury hydrotherapy and wellness with BonaVista Leisurescapes, Toronto's premier Hydropool dealer."
672d427b6613f0d51efbc707,executive-trainer-19ex,true,swim-spa,,executive-trainer,Executive Trainer 19Ex,57,2024,HPET19EX,"The 19EX features Our patented Current Collector and V-Twin Jets come standard, giving you the best swim in the industry.",N/A,2 Person,23,2378 US Gal / 9038 L,V-Twin Jets W/VFX Pumps,19' Model,5,N/A,"220"" x 93"" / 558.80 cm x 236 cm",53″ / 134 cm,22948 lbs / 10412 kgs,3028 lbs / 1374 kgs,132” / 335 cm,3 Pumps,Yes + Optional Lighiting Packages,N/A,2 Waterfall Pillows Incl + Optional Bellagio Package,true,true,false,standard,optional,not-available,optional,optional,not-available,optional,5.5kw + Optional 2nd 4kw,10/5/3 Year Limited,672d42776613f0d51efbc700,672d427a6613f0d51efbc704,https://hydropool-configurator.web.app/Tz71IqMqhG8ihdERzkxr?lang=en&model_switcher=QLDH3RNvKxpMPTcbeujP,2024-11-07T22:43:07.096Z,2025-02-11T03:50:48.459Z,0,Hydropool Executive Trainer 19Ex | BonaVista Leisurescapes,672d42776613f0d51efbc700,"The 19EX features Our patented Current Collector and V-Twin Jets come standard, giving you the best swim in the industry. Experience the ultimate in luxury hydrotherapy and wellness with BonaVista Leisurescapes, Toronto's premier Hydropool dealer."
672d42816613f0d51efbc713,executive-trainer-16ex,true,swim-spa,,executive-trainer,Executive Trainer 16Ex,51,2024,HPET16EX,"The 16EX Trainer features the smoothest, most predictable current providing the best swim of any swim spa on the market.",N/A,2 Person,23,2010 US Gal / 7638 L,V-Twin Jets W/VFX Pumps,16' Model,5,N/A,"186"" x 93"" / 472.44 cm x 236 cm","53"" / 134 cm",19394 lbs / 8800 kgs,2560 lbs / 1162 kgs,98” / 248 cm,3 Pumps,Yes + Optional Lighiting Packages,N/A,2 Waterfall Pillows Incl + Optional Bellagio Package,true,true,false,standard,optional,not-available,optional,optional,not-available,optional,5.5kw + Optional 2nd 4kw,10/5/3 Year Limited,672d427d6613f0d51efbc70c,672d42806613f0d51efbc710,https://hydropool-configurator.web.app/XE8m3PA35tixRIs18uxb?lang=en&model_switcher=QLDH3RNvKxpMPTcbeujP,2024-11-07T22:43:13.054Z,2025-02-11T03:50:38.217Z,0,Hydropool Executive Trainer 16Ex | BonaVista Leisurescapes,672d427d6613f0d51efbc70c,"The 16EX Trainer features the smoothest, most predictable current providing the best swim of any swim spa on the market. Experience the ultimate in luxury hydrotherapy and wellness with BonaVista Leisurescapes, Toronto's premier Hydropool dealer."
672d42876613f0d51efbc71f,executive-sport-19ex,true,swim-spa,,executive-sport,Executive Sport 19Ex,47,2024,HPES19EX,Enjoy Total Body Fitness & Fun. The 19EX Sport’s hydromassage seats let you relax after a tough workout.,N/A,2 Person,23,2378 US Gal / 9038 L,AccuFlow Jets,19' Model,4.5,N/A,"220"" x 93"" / 558.80 cm x 236 cm",53″ / 134 cm,22948 lbs / 10412 kgs,3028 lbs / 1374 kgs,132” / 335 cm,3 Pumps,Yes + Optional Lighiting Packages,N/A,2 Waterfall Pillows Incl + Optional Bellagio Package,true,true,false,standard,optional,not-available,optional,optional,not-available,optional,4kw + Optional 2nd 4kw,10/5/3 Year Limited,672d42836613f0d51efbc718,672d42876613f0d51efbc71c,https://hydropool-configurator.web.app/J1dDzQdusEB9lRAN7psT?lang=en&model_switcher=QLDH3RNvKxpMPTcbeujP,2024-11-07T22:43:19.225Z,2025-02-11T03:50:27.740Z,0,Hydropool Executive Sport 19Ex | BonaVista Leisurescapes,672d42836613f0d51efbc718,"Enjoy Total Body Fitness & Fun. The 19EX Sport’s hydromassage seats let you relax after a tough workout. Experience the ultimate in luxury hydrotherapy and wellness with BonaVista Leisurescapes, Toronto's premier Hydropool dealer."
672d428d6613f0d51efbc72b,executive-sport-16ex,true,swim-spa,,executive-sport,Executive Sport 16Ex,40,2024,HPES16EX,"The 16 Executive Sport delivers all the fitness and fun of our 14’ AquaSport models, plus extra room workout.",N/A,2 Person,23,2010 US Gal / 7638 L,AccuFlow Jets,16' Model,4.5,N/A,"186"" x 93"" / 472.44 cm x 236 cm",53″ / 134 cm,19394 lbs / 8800 kgs,2560 lbs / 1162 kgs,98” / 248 cm,3 Pumps,Yes + Optional Lighiting Packages,N/A,2 Waterfall Pillows Incl + Optional Bellagio Package,true,true,false,standard,optional,not-available,optional,optional,not-available,optional,4kw + Optional 2nd 4kw,10/5/3 Year Limited,672d42896613f0d51efbc724,672d428d6613f0d51efbc728,https://hydropool-configurator.web.app/U1CUTv4ibJwwRjPS58Rr?lang=en&model_switcher=QLDH3RNvKxpMPTcbeujP,2024-11-07T22:43:25.304Z,2025-02-11T03:50:16.646Z,0,Hydropool Executive Sport 16Ex | BonaVista Leisurescapes,672d42896613f0d51efbc724,"The 16 Executive Sport delivers all the fitness and fun of our 14’ AquaSport models, plus extra room workout. Experience the ultimate in luxury hydrotherapy and wellness with BonaVista Leisurescapes, Toronto's premier Hydropool dealer."
672d42926613f0d51efbc737,aquasport-14ax,true,swim-spa,,,AquaSport 14AX,35,2024,HPAS14AX,"The 14AX AquaSport features a 53"" deep swim tank & ergonomically designed hydrotherapy seats, with zone therapy.",N/A,4 Person,29,1726 US Gal / 6534 L,AccuFlow Jets,14' Model,4.5,N/A,"174"" x 93"" / 442 cm x 236 cm","53"" / 134 cm",16706 lbs / 7580 kgs,2302 lbs / 1046 kgs,"117"" / 297 cm",3 Pumps,Yes + Optional Lighiting Packages,N/A,2 Waterfall Pillows Incl + Optional Bellagio Package,true,true,false,standard,optional,not-available,optional,optional,not-available,optional,4kw + Optional 2nd 4kw,10/5/3 Year Limited,672d428f6613f0d51efbc730,672d42926613f0d51efbc734,https://hydropool-configurator.web.app/qQ61R7ouC2TdU1WDvrQe?lang=en&model_switcher=QLDH3RNvKxpMPTcbeujP,2024-11-07T22:43:30.364Z,2025-02-11T03:50:07.240Z,0,Hydropool AquaSport 14AX | BonaVista Leisurescapes,672d428f6613f0d51efbc730,"The 14AX AquaSport features a 53"" deep swim tank & ergonomically designed hydrotherapy seats, with zone therapy. Experience the ultimate in luxury hydrotherapy and wellness with BonaVista Leisurescapes, Toronto's premier Hydropool dealer."
